x1,y1,size1,figure1,is_active1,color1,priority1,speed1,opacity1,rotation1,x2,y2,size2,figure2,is_active2,color2,priority2,speed2,opacity2,rotation2,collision
-1,-5,30,rectangle,0,blue,4,3.4401685378633684,0.3990865000682272,280,-4,-4,28,rectangle,0,yellow,4,2.708741274709353,0.6150498835330254,210,True
0,1,92,circle,1,blue,1,6.027450829802591,0.46039874050320795,142,3,-1,46,rectangle,0,yellow,2,5.666627918865314,0.8694990886777153,102,True
4,6,71,circle,1,blue,1,1.1174040824851905,0.9772312220527416,298,1,1,61,circle,0,red,3,1.63199671304177,0.528080242789697,221,True
2,4,17,rectangle,1,green,2,4.102248923976678,0.8456466403440355,80,-5,3,29,circle,0,blue,2,3.1546208831722122,0.8875677528702125,355,False
5,-4,89,circle,1,blue,4,0.6299993630463074,0.9466959411102501,60,2,-3,23,circle,1,yellow,3,1.706593554599487,0.5583802110307857,109,False
0,-4,27,rectangle,1,green,4,2.3215804180891544,0.3473398274613757,209,-5,4,80,circle,0,blue,4,0.14561613300777543,0.638844798351277,230,False
2,3,87,rectangle,1,green,4,3.774193537589227,0.20474762378458633,188,5,3,91,circle,0,green,4,1.914717342823834,0.6856927143981448,119,True
0,0,74,circle,1,green,4,7.991176348920652,0.7489657264520586,216,-2,5,88,rectangle,0,red,4,2.7000287885413043,0.007301885881771941,51,True
5,-5,36,rectangle,1,blue,2,2.9255113528367014,0.4655780757981349,262,4,-2,12,rectangle,0,yellow,5,6.759104611422423,0.5083712040889907,61,True
-3,4,58,circle,1,blue,3,3.2017024109300207,0.32762843900023364,69,-5,3,69,circle,1,red,3,5.227611213850626,0.6628774597429656,98,False
5,5,90,circle,1,green,5,9.6935693132721,0.3650892662382583,114,0,0,70,rectangle,0,red,4,5.430328453032011,0.4208414952292936,95,True
3,-4,12,circle,0,red,1,0.8455606161566409,0.36167399030815595,254,4,4,43,rectangle,1,blue,3,1.006590187790647,0.303364723060328,219,False
-5,2,55,circle,0,green,4,0.9665858419154627,0.953849774733012,50,-2,5,18,circle,0,green,5,7.300443210400091,0.598576526238296,145,False
3,-5,57,circle,0,yellow,1,4.386811424938548,0.47844531286555003,306,5,0,47,rectangle,1,blue,5,9.942824794472468,0.48556065162632234,50,False
-4,-3,69,rectangle,0,red,2,6.6629538197127385,0.8894356074238763,254,-3,6,78,circle,0,yellow,3,9.604438962043208,0.5778176904836088,35,False
-2,6,55,circle,1,green,4,7.07534633859336,0.5847517805999128,270,-5,2,83,circle,1,blue,2,0.606141918490446,0.6192480455161774,33,False
2,4,54,rectangle,1,red,3,3.483260605251642,0.669556102939134,116,3,-3,48,circle,0,green,2,9.856712719849316,0.15045457889130276,356,False
5,-4,54,rectangle,0,yellow,5,0.6497722647754933,0.8128430880350076,336,-2,-6,57,circle,1,yellow,3,5.335198171233939,0.059269423672998145,168,False
3,4,60,circle,0,green,5,5.003074140515412,0.103343840412635,330,-1,3,59,rectangle,0,green,2,0.20815087112431296,0.9453023249652218,187,True
1,-3,42,rectangle,0,red,3,3.980215798725437,0.701619763423189,263,-5,6,85,circle,0,yellow,5,8.937853694477822,0.7027976025864706,290,False
3,0,39,circle,1,blue,1,3.346612419115893,0.09656555533020039,10,-1,-4,25,circle,1,yellow,1,1.8470091167038427,0.014661058154325946,102,True
0,-2,97,rectangle,0,green,2,2.7591481752859135,0.9444127137231377,160,-3,-4,15,circle,1,red,5,8.149470999352541,0.6131769373550102,281,True
-2,-3,81,rectangle,1,blue,5,3.3281979271009954,0.24669794614932272,37,-2,-2,35,rectangle,1,yellow,4,7.237276114322074,0.4301064273980417,238,True
3,0,87,rectangle,1,yellow,2,7.266942278735521,0.18577412768431245,3,1,-4,47,circle,0,green,5,3.9243788737005456,0.16290324323385474,49,True
-1,-5,30,circle,1,green,1,7.262776755914608,0.512397378299254,246,4,-6,11,circle,0,yellow,5,3.141689342966052,0.9700371691180548,84,False
-1,5,62,circle,1,green,3,6.4895536948005725,0.10687978731991132,355,3,-4,93,circle,0,red,5,9.142062971139614,0.8041307384401012,204,True
-1,6,45,rectangle,1,green,3,8.954541069111569,0.2702459061457625,159,-2,-5,82,rectangle,0,blue,3,5.710852947017938,0.8220344996676455,278,False
-3,0,22,circle,1,blue,4,8.55189071757908,0.6328796992130543,63,2,3,32,circle,0,blue,3,2.2631526660408783,0.5689082118807509,336,True
-4,1,62,rectangle,1,yellow,2,5.564464276020641,0.5474798476921926,256,-2,0,10,rectangle,0,yellow,2,8.045082131714283,0.35986610174299105,203,True
-3,-2,50,circle,0,yellow,3,9.009319163812185,0.2125456540302224,15,-5,6,60,circle,0,red,1,3.6702986362291092,0.6793363071611146,35,False
-1,6,88,rectangle,0,green,4,7.204774585076521,0.4994772502178896,201,-3,-3,32,circle,0,green,2,5.038018639905182,0.42910613027656386,125,False
1,2,68,circle,0,red,1,4.110621108669652,0.1230098895631212,15,2,-1,28,rectangle,1,green,5,4.746941364760906,0.33181716023688856,324,True
5,5,15,rectangle,1,red,1,3.279332255814448,0.7271534132426948,209,-1,-5,74,circle,0,blue,4,1.8474131187120912,0.3513046718256825,104,False
3,4,58,circle,0,yellow,1,0.4665198080727673,0.8801904902540042,291,-2,-1,86,circle,0,blue,2,7.564649124333346,0.25068278947141687,60,True
-3,-4,12,circle,0,green,1,5.874775591364909,0.578329706736687,189,1,4,92,circle,1,yellow,4,2.768766393205231,0.9436491627494659,288,True
-5,-1,18,circle,0,blue,2,6.114902040755829,0.08470729841522295,337,-1,-1,87,circle,0,red,3,7.262962502369717,0.8454562446077332,333,True
-2,2,23,circle,1,green,5,3.9416057237924473,0.35836120850410347,325,2,-2,36,rectangle,1,green,2,3.3642356564313767,0.5423599071961878,261,False
-3,1,45,rectangle,1,green,4,9.77044866519601,0.5318547032382015,190,4,-4,40,circle,0,green,5,2.7210763662320336,0.6513746466158619,15,False
5,6,16,circle,0,yellow,4,9.799154089880336,0.5071582662269124,112,-2,5,27,circle,0,red,1,0.10060187874732951,0.005159966713598196,131,False
0,6,79,rectangle,1,blue,1,0.9022855391340989,0.8976404058738187,272,0,4,64,circle,1,green,4,7.374681101798951,0.21559621740892798,243,True
-2,3,70,rectangle,1,red,5,4.94765811272973,0.949514659683232,105,0,-6,84,circle,1,yellow,5,7.6520696348806325,0.6024875068588321,284,False
-4,-3,90,rectangle,0,red,3,6.624402395141572,0.5150445345630873,281,4,5,66,rectangle,1,red,2,1.393680503969279,0.4681433642693601,53,True
-2,-3,26,rectangle,1,blue,2,0.5715071759877521,0.17329654452934662,167,0,-5,34,circle,0,yellow,2,3.0144167503428845,0.11588946181127191,171,True
-1,3,34,rectangle,0,yellow,5,8.569438655415635,0.05737402374743883,332,-1,5,41,rectangle,1,yellow,2,3.9748551402037946,0.07872477341690676,47,True
0,-3,67,rectangle,1,blue,2,7.253983073117693,0.8504919167580238,111,-5,4,24,rectangle,0,yellow,3,0.2724324680303125,0.23804145050155068,160,False
1,-6,32,circle,0,yellow,4,6.2452050432705,0.8187729954719021,252,1,4,45,circle,0,red,4,2.7951868568748806,0.2649787442425483,243,False
5,-2,64,circle,1,blue,1,0.2559190714866766,0.19539619072745718,267,0,3,99,circle,1,red,4,4.938243258092005,0.157628891010966,226,True
5,-1,46,rectangle,1,red,1,8.089349266541618,0.9150987957578831,46,1,0,85,rectangle,1,red,1,9.775364933091158,0.570615141592601,339,True
1,-3,89,rectangle,0,green,2,0.8220612548768569,0.961722126419975,239,-1,-6,56,circle,1,blue,4,3.3605167744337283,0.30284414375246516,175,True
4,-6,55,rectangle,1,blue,5,9.889583763504962,0.9380476110936241,321,3,2,100,circle,0,yellow,4,6.43658987456186,0.3967431183707243,304,False
-3,4,95,rectangle,0,yellow,1,1.165461381844295,0.6718614877511501,220,1,3,44,circle,1,blue,1,3.7589092010565928,0.32884211260628016,338,True
-3,-5,38,circle,0,yellow,4,8.693342453773042,0.7643089493486485,327,3,5,92,rectangle,1,red,1,1.9193422061008436,0.9987151091681635,79,False
1,3,100,circle,1,green,1,6.493620705335151,0.3652774157276705,334,0,0,62,circle,1,blue,5,0.6623026248206187,0.1502785264911659,329,True
4,-2,82,circle,0,yellow,1,0.24556453917389143,0.7747061202992209,289,5,-6,75,rectangle,0,red,2,8.801513793157524,0.2130513168675865,335,True
3,0,55,circle,1,blue,3,6.565118691461494,0.08078288886866669,221,1,1,73,circle,1,blue,3,8.29209019206351,0.9643080655818659,109,True
0,0,34,rectangle,1,green,5,9.535573742774679,0.5295812974761707,259,0,4,70,circle,0,green,1,0.958135587207446,0.7584319514975053,180,True
3,2,25,circle,0,blue,5,0.041250133489136864,0.2741285845249306,321,-2,5,93,rectangle,1,yellow,2,8.933229106775038,0.15563156540219858,100,True
-4,-4,82,circle,0,red,3,9.575921336675373,0.9045075584924567,292,-2,5,22,circle,0,red,3,6.652266987121552,0.482153164483914,3,True
4,-4,94,rectangle,0,green,3,7.043143686059975,0.4885579546190716,123,-4,5,30,rectangle,1,green,2,5.374979981443943,0.24215587510516956,337,False
2,-5,54,rectangle,0,red,4,7.454854601829494,0.3072775332843545,297,-2,-2,88,rectangle,1,green,2,1.6454359024349163,0.4635942789917209,241,True
4,-6,48,rectangle,1,blue,4,5.335959590146894,0.8089517324674123,202,-1,3,36,rectangle,1,yellow,5,3.6646596111571927,0.2190671949984554,348,False
4,-3,29,circle,0,yellow,2,8.783694724248024,0.7590052749447024,140,0,5,58,rectangle,1,blue,5,8.517641947756516,0.4834588359130655,0,False
-4,-6,40,rectangle,1,yellow,5,4.635723673797968,0.05989289594077829,232,-5,2,11,rectangle,1,red,4,7.359804284538053,0.8084566943635082,316,False
2,-2,91,circle,0,blue,3,1.232636496437599,0.30440858122639924,3,-3,0,58,circle,1,green,2,1.5486893005396263,0.02281059656139295,8,True
3,5,47,circle,1,yellow,1,7.558844633585068,0.9695269942815768,48,3,2,67,circle,0,green,5,1.1775551476461465,0.7160707420828037,129,True
4,-2,53,circle,1,green,1,7.895080019853054,0.4807441523734567,187,1,-5,12,circle,1,green,3,0.9402608284124214,0.2839145242590724,180,False
-2,-4,86,circle,1,green,3,5.575778228377565,0.7485237392709078,311,5,-3,66,circle,1,green,5,0.2628668907369569,0.0066797514567414895,162,True
2,-2,56,rectangle,0,red,1,3.4035067201636293,0.5315103691070291,93,-5,3,42,circle,1,green,2,1.084849920235651,0.8465913239893293,129,False
4,3,55,rectangle,1,blue,3,5.5743641172417835,0.4830573229128019,37,-5,-6,46,rectangle,1,green,4,3.3438894852954792,0.20378007563793543,321,False
2,6,20,rectangle,1,green,2,7.123928611576047,0.9988681795642719,309,0,1,98,rectangle,0,blue,3,4.704523267349915,0.11355206966666109,233,True
1,4,53,circle,1,green,3,8.637648443418042,0.17564281117847114,119,4,-6,55,circle,1,yellow,2,4.905157912598387,0.1867041620780976,13,False
1,4,31,circle,1,yellow,4,9.246611309856062,0.9712370345704346,117,-5,-3,36,rectangle,1,green,1,7.805534533823617,0.055449216152223535,58,False
0,0,48,circle,1,red,5,0.5066509629704719,0.4934687658242455,37,-1,-3,54,circle,1,blue,5,8.194324478972328,0.1641551585322074,85,True
0,2,98,rectangle,1,yellow,5,7.515967593508944,0.36290313850022526,21,-3,-5,82,circle,0,red,2,4.2684398395402,0.2116781404942939,333,False
1,-2,78,rectangle,1,blue,4,3.8436836413926514,0.6479608981542608,72,0,-2,76,rectangle,1,red,1,3.5882126575614337,0.12038321913354666,286,True
-4,-5,56,circle,0,yellow,3,3.5736282279851395,0.03235494637529068,310,-4,6,80,rectangle,0,yellow,2,5.157071639563016,0.23882314492209866,312,False
0,0,49,rectangle,0,yellow,2,3.615120620134391,0.219414629253727,27,-4,-3,18,rectangle,0,green,3,7.340757885907662,0.6136278168912309,56,True
-2,4,76,rectangle,0,green,5,8.794475129420647,0.7200039810459509,148,0,2,87,rectangle,0,red,1,9.249813841296394,0.6717711586732624,272,True
-1,6,61,rectangle,1,yellow,3,0.8660063128444051,0.013799334692777165,257,-2,4,41,circle,1,blue,5,1.3813630286944234,0.2268607800224709,357,True
2,4,35,rectangle,1,blue,4,5.590406000806523,0.6124751234957464,197,1,1,20,circle,1,blue,2,4.521600683824117,0.5279733005602636,244,True
1,-4,48,circle,1,red,4,7.721256488840113,0.2157590576957118,126,1,6,97,circle,1,blue,1,9.78993747477383,0.11782971535827791,277,True
-4,6,56,rectangle,1,blue,2,9.475164578823584,0.16856751989995078,103,-4,-4,49,circle,1,blue,1,1.0838247949857938,0.965415075705276,92,False
0,2,70,rectangle,0,red,1,5.131743590845531,0.6967837643362986,51,4,5,22,circle,1,yellow,4,8.280163672017062,0.6131864541471048,316,True
3,3,22,circle,0,blue,5,0.7308311732546191,0.7750757943348958,316,-4,0,94,circle,1,red,3,2.8286735319984957,0.26166557880552066,122,True
-3,-6,29,circle,1,green,2,4.89383120423771,0.34051845773232114,295,1,3,76,rectangle,1,yellow,4,7.874439545328627,0.4862438333459501,192,False
-5,6,89,rectangle,0,blue,1,2.825116716363306,0.07146327793900842,127,2,-2,64,circle,0,red,2,6.819784793510232,0.7821474483940145,344,False
-1,-3,39,rectangle,1,yellow,3,9.231868868448135,0.7870372476561891,165,4,-3,55,circle,0,blue,3,3.796058304976934,0.7792794473785117,34,False
-4,6,26,circle,1,red,4,9.978642537614483,0.5184781778778725,64,0,5,93,circle,0,green,4,6.22445070534702,0.07627118546610201,254,False
-3,-2,45,rectangle,0,green,1,2.9288802567568304,0.5464125130883478,113,0,6,77,rectangle,1,blue,5,1.740152731718313,0.827078397221495,84,False
2,1,17,circle,1,green,4,1.6779981830360402,0.6636066065697499,118,-5,3,66,rectangle,1,yellow,4,6.914547315809994,0.9274121964951465,86,False
2,-6,99,rectangle,0,red,4,9.511760600366912,0.3713459780721915,193,3,1,98,circle,1,red,2,1.8275286013205838,0.5187906026928407,223,False
-1,-5,79,circle,1,yellow,2,7.634679757063444,0.31335065726739986,278,4,3,71,circle,0,red,3,1.7857549529676209,0.5181470307400994,34,True
