x1,y1,size1,figure1,x2,y2,size2,figure2,collision
-1,-6,26,circle,3,-4,77,rectangle,True
-5,-1,100,circle,3,4,87,rectangle,False
-4,3,46,rectangle,-3,4,65,circle,True
-2,3,88,rectangle,-5,-1,94,circle,True
5,0,81,rectangle,-1,-1,65,rectangle,True
3,1,50,rectangle,1,-5,56,rectangle,True
5,5,85,circle,-2,-4,60,circle,True
-1,6,83,rectangle,3,-3,85,rectangle,True
0,4,67,rectangle,3,-3,34,circle,False
-4,3,94,rectangle,-2,2,94,rectangle,True
-1,4,90,circle,0,6,76,circle,True
0,0,54,circle,-5,-3,18,rectangle,False
-1,-5,99,circle,4,6,98,circle,True
0,5,62,rectangle,5,4,98,rectangle,True
-2,2,77,circle,-4,-2,73,circle,True
-1,6,71,circle,-1,-2,100,circle,True
2,1,62,rectangle,4,-5,91,rectangle,True
-2,-6,69,rectangle,-3,3,71,circle,False
-5,3,16,circle,4,2,62,circle,False
4,4,29,circle,-3,3,68,rectangle,False
-3,-6,77,rectangle,-4,-6,79,circle,True
-3,3,29,circle,-5,6,85,circle,False
1,-5,21,rectangle,-5,-5,82,rectangle,True
-5,-3,68,rectangle,2,1,67,circle,False
-5,5,30,circle,1,4,39,circle,False
-4,-5,63,circle,-5,-4,67,rectangle,True
-2,3,93,rectangle,4,-4,32,circle,False
-4,-3,85,circle,4,-5,10,circle,False
0,-6,15,rectangle,-2,0,100,rectangle,True
-4,-3,29,rectangle,-3,3,88,rectangle,True
-3,-3,20,circle,5,-2,99,circle,True
0,5,42,rectangle,1,-4,57,rectangle,False
3,3,31,rectangle,2,-3,16,circle,False
-1,-5,49,rectangle,2,1,72,circle,False
-4,3,38,circle,5,0,56,rectangle,False
1,-1,47,circle,-4,-3,90,rectangle,True
0,4,68,rectangle,4,4,50,circle,True
2,5,91,rectangle,-1,4,50,rectangle,True
-3,0,66,rectangle,-3,-3,91,circle,True
-5,4,55,circle,1,0,73,rectangle,False
4,-4,87,rectangle,3,-1,50,circle,True
5,3,71,circle,-3,-4,69,circle,True
-3,5,23,rectangle,-5,2,20,circle,True
-4,0,21,circle,3,3,34,rectangle,False
-2,1,19,circle,2,-5,48,rectangle,False
-2,-4,46,rectangle,-4,2,68,circle,False
2,3,11,rectangle,-5,3,29,rectangle,False
2,0,24,circle,3,0,73,circle,True
1,5,52,rectangle,3,-1,60,rectangle,True
1,3,99,circle,-5,-2,35,rectangle,False
-1,0,75,rectangle,0,-2,31,circle,True
5,-5,37,circle,-4,5,75,rectangle,False
5,6,62,circle,-4,-1,48,circle,True
-5,-1,80,rectangle,5,3,23,circle,False
2,-5,42,circle,-3,-1,51,circle,True
1,-4,75,circle,5,-6,31,circle,False
0,-1,37,circle,2,5,60,rectangle,False
-4,-5,49,rectangle,2,-5,56,circle,False
2,0,63,circle,-4,-2,15,circle,True
-5,-2,79,circle,-1,-4,56,rectangle,True
-1,6,37,circle,3,-3,14,circle,False
3,-1,30,circle,-2,6,52,rectangle,False
5,-3,48,circle,-4,2,45,circle,False
-5,-2,80,rectangle,-2,-1,74,circle,True
4,4,83,rectangle,-4,5,80,rectangle,True
3,5,50,rectangle,1,0,76,rectangle,True
3,-2,18,rectangle,0,-6,87,circle,False
-4,-6,63,rectangle,2,5,60,circle,False
3,-5,50,rectangle,-2,6,88,rectangle,False
1,-1,77,circle,-3,-1,39,rectangle,True
3,2,38,circle,2,5,29,circle,True
1,4,31,circle,-1,-3,79,rectangle,False
-1,0,12,circle,4,3,77,circle,True
2,0,43,rectangle,-2,4,86,rectangle,True
5,1,23,circle,-3,0,41,circle,True
-3,-4,78,rectangle,5,5,79,rectangle,False
-2,2,25,circle,-5,-1,14,circle,False
0,-3,97,circle,-3,1,91,circle,True
2,0,32,circle,-5,-6,82,rectangle,False
-3,-4,47,circle,1,-2,34,circle,True
-4,1,56,rectangle,-4,1,48,rectangle,True
3,-3,21,rectangle,-5,0,42,rectangle,False
3,-5,23,circle,0,-3,71,rectangle,True
-3,2,76,rectangle,-2,-6,20,rectangle,False
2,-4,52,rectangle,0,-1,25,circle,True
3,2,100,rectangle,-1,3,72,rectangle,True
4,-3,62,rectangle,5,6,54,rectangle,False
3,1,61,rectangle,-4,-3,46,circle,False
3,-2,77,rectangle,4,-5,29,circle,True
4,1,64,rectangle,-5,-2,53,circle,False
-3,4,13,circle,-1,2,56,rectangle,True
-1,-5,25,rectangle,3,1,59,rectangle,True
-5,0,83,rectangle,3,3,81,rectangle,True
1,2,70,rectangle,1,-1,22,rectangle,True
3,-5,97,circle,-2,2,50,rectangle,False
3,-1,63,circle,-4,5,14,rectangle,False
0,-3,54,circle,2,1,94,rectangle,True
-2,5,83,rectangle,1,-3,67,rectangle,True
-1,2,28,rectangle,-3,5,85,circle,True
-3,-4,32,rectangle,1,-4,52,circle,False
0,-3,52,circle,-3,0,41,rectangle,True
0,-5,24,rectangle,3,-3,87,circle,True
1,6,48,rectangle,-2,-6,90,rectangle,False
-4,1,21,circle,4,2,69,circle,True
-4,-6,42,rectangle,-5,0,20,circle,False
-1,3,69,circle,-2,6,28,rectangle,True
-2,-1,21,rectangle,3,-5,33,rectangle,True
5,-5,90,circle,-3,6,58,rectangle,False
5,-6,30,rectangle,-3,-1,85,circle,False
-4,2,64,circle,3,-5,12,rectangle,False
1,1,67,rectangle,4,-3,75,rectangle,True
4,-1,63,circle,2,6,23,rectangle,False
-1,0,44,rectangle,2,3,84,circle,True
4,3,79,circle,1,-3,74,rectangle,False
5,-5,45,circle,-5,-4,71,rectangle,False
-3,-2,96,circle,-1,6,87,rectangle,False
-4,-5,22,rectangle,3,-6,58,circle,False
4,0,42,rectangle,3,5,56,circle,False
-1,-2,60,circle,-2,-6,25,rectangle,False
-1,4,95,circle,-4,-4,57,rectangle,False
0,-4,58,circle,-5,3,49,circle,False
-3,3,56,rectangle,0,4,72,rectangle,True
-4,6,39,rectangle,-5,2,96,rectangle,True
5,2,77,circle,-5,-1,22,circle,True
2,-3,75,rectangle,2,-5,54,rectangle,True
2,-2,85,rectangle,0,3,53,circle,True
3,-5,63,rectangle,-1,3,22,circle,False
-1,-6,18,rectangle,-2,5,30,circle,False
1,-5,23,circle,-5,-4,18,rectangle,False
-4,3,30,circle,0,-2,73,rectangle,True
2,2,88,circle,1,-4,79,rectangle,False
2,-3,14,rectangle,0,6,47,circle,False
-3,-6,36,circle,5,-6,12,circle,False
0,-3,20,rectangle,-5,-1,36,rectangle,True
