x1,y1,size1,figure1,is_active1,color1,priority1,speed1,opacity1,rotation1,x2,y2,size2,figure2,is_active2,color2,priority2,speed2,opacity2,rotation2,collision
-3,5,94,rectangle,0,blue,3,4.881444397075039,0.3431758085363815,216,3,0,57,rectangle,1,red,3,8.587998544905268,0.0968806932015811,88,True
2,-3,65,rectangle,0,blue,4,1.9465411669353039,0.6924279936885807,99,2,-2,39,rectangle,0,red,1,4.465051603482165,0.8608892615439713,258,True
-5,2,88,circle,0,yellow,1,7.8194594435981735,0.8688364432705176,143,4,-3,62,rectangle,0,blue,5,4.623430242063241,0.17417329241765145,249,False
-2,-3,48,rectangle,0,red,4,5.993590004297104,0.04504914526576542,37,-5,5,73,rectangle,1,red,4,4.749234336875949,0.33114066407147125,115,False
-4,6,85,rectangle,1,red,4,2.981574537855367,0.7745906347100249,158,-4,-5,99,circle,1,red,5,7.6220297513706345,0.5242481291236493,198,False
-3,5,95,rectangle,0,green,3,4.543888058881662,0.6418904467901018,121,-5,-6,65,circle,1,yellow,2,6.352477851804239,0.32250690197990595,104,False
0,3,25,circle,0,blue,3,3.630457665633442,0.3213775737750373,316,-4,2,12,circle,1,red,5,1.8483454633741514,0.995607251305607,73,False
1,1,19,circle,0,yellow,2,5.81247072607734,0.6921233072179009,217,-2,-4,51,circle,1,yellow,1,8.265423665340704,0.9312059199151392,45,True
5,0,76,rectangle,1,green,5,6.759838288789259,0.6386700077737789,351,5,-4,59,circle,0,green,2,9.52747986284173,0.20742145282188473,269,True
4,3,50,circle,1,red,1,7.025783390388932,0.8014677824900442,357,-5,0,71,rectangle,0,blue,4,0.1551416556283225,0.034299972303359905,255,False
-4,-4,56,rectangle,0,blue,3,3.7762721571087097,0.5337941653721813,331,-1,1,34,rectangle,1,red,1,5.10572027346122,0.151782912231323,167,True
-2,4,40,circle,0,red,1,3.7629713841481327,0.8997746113620718,206,3,4,98,rectangle,1,green,2,7.880234120468277,0.767444425988135,328,True
0,6,78,rectangle,1,blue,2,3.7897537308225013,0.7584864737586537,68,4,-4,98,circle,1,yellow,1,4.668850883430404,0.24298240143230765,25,False
0,6,24,circle,1,green,4,2.448918449662761,0.03560589994829633,135,4,0,76,rectangle,1,blue,2,2.0526686866443278,0.7871358813240118,139,False
5,-1,13,circle,0,yellow,4,8.155833889331474,0.11161539883110316,68,5,-4,74,circle,0,blue,4,3.1105151745392092,0.4938037186792411,121,False
0,-5,40,rectangle,1,green,4,8.729530888728402,0.1809930852028564,170,-4,-1,39,rectangle,1,green,3,8.827256651513883,0.3027320185873845,353,True
-4,-5,70,circle,0,blue,3,8.970999493264499,0.07033440827825288,47,-5,6,66,rectangle,1,blue,4,7.723326132586973,0.5396075793988189,110,False
3,-1,88,rectangle,1,green,1,7.725203141373584,0.44025439016138557,15,-3,0,91,circle,1,blue,5,2.9425686665867614,0.7149218207581627,73,False
2,-5,63,circle,1,red,2,0.2672772533824064,0.3542376680493592,130,3,-3,46,circle,0,green,4,1.9630091631246516,0.5629543048330278,256,False
-5,-3,88,circle,1,yellow,4,6.724445473558019,0.5453099407348772,149,-2,-1,86,circle,0,yellow,2,2.1576176479966627,0.4048771581298086,28,True
-2,0,32,circle,0,green,3,4.219018181843543,0.8073213893930248,341,1,-1,16,circle,0,green,1,8.824475487597748,0.24360811935647797,292,True
-5,4,26,circle,0,yellow,2,1.7972867002680226,0.7676077745273558,168,4,-2,19,rectangle,0,blue,5,5.373864676702416,0.43854025651440576,204,False
-4,1,70,rectangle,0,yellow,5,1.963391105772525,0.9255320705590192,159,-2,1,56,circle,0,red,4,5.977468075529702,0.3942188824432791,42,True
-5,2,40,rectangle,0,red,2,2.1983732552473265,0.011006262861165905,312,0,0,77,rectangle,0,yellow,3,0.6196473277541092,0.40617482086230605,106,True
4,1,16,circle,0,green,1,3.478480719468612,0.9256413260818076,204,-2,-2,10,circle,1,red,4,6.866476700352044,0.803693646846504,58,True
-2,0,48,rectangle,0,red,1,4.941053621867734,0.5540340237464116,320,4,-6,77,rectangle,1,green,5,9.201098800128758,0.5349199996313007,94,True
-1,-2,67,rectangle,1,blue,1,5.300647901251682,0.7306513299363481,121,2,-5,39,rectangle,1,red,2,7.472738959378829,0.9838450910255356,314,True
5,-3,14,circle,1,green,4,5.336057566836292,0.7908789424869437,243,0,6,43,circle,1,red,3,2.705331185645592,0.0937781251717833,269,False
-1,-3,68,rectangle,0,green,4,8.99628838165412,0.26697928694683826,274,2,-2,65,circle,1,yellow,5,5.004815938317532,0.931343626080927,29,True
-1,-6,65,rectangle,0,green,3,1.1398080082500273,0.8955812271684386,210,1,0,78,circle,0,green,3,6.430320115805305,0.5600069629588712,163,False
5,0,65,rectangle,1,yellow,1,0.05900531009887966,0.22881282630560118,155,-4,-3,77,rectangle,1,green,5,2.165796114682186,0.9226745578004233,352,False
0,-5,51,circle,0,red,2,2.4330766968735773,0.204915712831092,234,5,-5,74,rectangle,0,red,4,6.586428361460342,0.7551961572116496,356,True
-3,2,79,rectangle,0,yellow,1,6.1003913969690995,0.4478822486540297,190,-5,6,15,rectangle,0,blue,4,9.682334540867522,0.1352489872920064,108,True
3,-6,60,rectangle,1,blue,2,1.4524439623100982,0.8226304779183589,214,5,-2,55,rectangle,0,red,2,7.167749466786937,0.13842032438535357,21,True
2,0,80,circle,0,blue,5,4.100742904602027,0.3089356283649244,121,-2,-1,71,rectangle,1,blue,3,7.701748722409328,0.8943764225680789,114,True
2,-4,48,rectangle,0,green,3,2.9627663816945358,0.44190096251017297,76,-4,-1,31,rectangle,0,yellow,3,4.317330525814572,0.3853294648434885,165,True
-3,4,95,circle,0,red,4,1.388459901785759,0.7146925709400745,8,0,-4,48,rectangle,0,red,1,4.093944905679626,0.5041655719074104,283,False
1,5,66,circle,0,red,2,9.620757581561302,0.9137429589194335,122,1,6,86,rectangle,0,blue,1,4.244065771932325,0.42471458479884794,118,True
4,4,40,rectangle,0,red,1,2.134728705755007,0.9004265224952076,73,-1,-5,60,circle,1,blue,3,9.59406979325458,0.7119877715302317,129,False
5,6,16,circle,1,blue,1,8.774456850201739,0.9497598739534452,236,5,-2,21,rectangle,0,red,4,2.4103165784659675,0.9345029752678906,77,False
-2,1,84,circle,1,red,1,8.365109149897842,0.9595136796002108,203,0,-1,74,circle,0,blue,2,7.238510218664217,0.26677071680207143,169,True
-4,5,13,rectangle,1,yellow,1,5.334501831555748,0.4717509175337562,52,-5,6,34,circle,1,yellow,3,0.008099573508081326,0.8773313748980518,233,True
2,3,29,circle,1,red,1,2.145375705974837,0.8696743275863795,36,3,-2,24,rectangle,1,red,3,1.8692314778865937,0.23332370186897977,344,False
