x1,y1,size1,figure1,is_active1,color1,priority1,x2,y2,size2,figure2,is_active2,color2,priority2,collision
-3,2,76,circle,1,yellow,5,0,5,87,circle,0,yellow,5,True
4,-2,28,circle,0,green,5,2,1,69,rectangle,1,green,4,True
-4,6,63,rectangle,0,yellow,5,0,2,56,circle,0,green,2,True
-3,-1,95,rectangle,0,green,2,-4,4,96,rectangle,0,yellow,1,True
5,4,67,circle,0,red,4,2,2,23,rectangle,1,green,2,True
4,1,78,circle,1,green,5,-3,3,11,rectangle,0,blue,3,False
-4,2,72,circle,1,blue,5,2,-6,19,circle,0,yellow,4,False
1,0,25,rectangle,1,blue,1,2,-5,96,circle,0,red,1,False
-1,-1,93,rectangle,0,red,4,-2,4,97,circle,1,blue,4,True
-2,5,10,rectangle,0,green,1,-2,3,82,rectangle,1,red,4,True
-4,6,86,circle,0,green,5,2,4,22,rectangle,0,yellow,3,False
3,-6,17,circle,0,blue,4,2,2,49,circle,0,yellow,2,False
5,-1,86,rectangle,1,red,2,2,3,41,circle,1,red,5,True
-2,4,70,rectangle,1,yellow,1,2,-6,64,rectangle,1,red,4,False
5,5,79,rectangle,0,green,5,4,6,90,circle,1,yellow,4,True
-5,-6,64,rectangle,1,blue,5,1,-1,66,rectangle,1,blue,2,True
-4,5,83,circle,1,red,2,3,-1,26,circle,1,green,2,False
4,-4,40,rectangle,1,yellow,2,-2,-5,30,rectangle,0,yellow,4,False
5,-3,34,circle,1,green,5,-2,1,19,rectangle,0,green,1,False
3,6,76,rectangle,0,blue,1,-3,1,44,rectangle,0,green,4,True
2,-6,16,rectangle,0,blue,2,1,1,90,rectangle,1,red,2,False
-2,-1,85,circle,1,blue,3,3,2,56,circle,0,green,3,True
2,1,10,rectangle,1,yellow,3,3,3,53,circle,1,red,4,True
-2,-2,100,circle,1,blue,3,-3,5,11,circle,0,yellow,3,False
-2,-3,94,circle,0,red,2,2,5,13,circle,1,blue,2,True
-2,1,66,rectangle,1,red,2,-2,-4,42,circle,1,blue,4,True
3,0,59,rectangle,0,yellow,4,-1,2,12,circle,1,yellow,2,True
4,0,45,circle,0,yellow,3,-5,6,86,rectangle,1,red,1,False
3,1,75,circle,1,green,4,2,-1,38,rectangle,0,green,5,True
1,-3,64,circle,0,green,5,-4,3,85,circle,0,blue,4,True
0,3,97,circle,1,yellow,4,1,5,97,rectangle,0,red,4,True
4,3,26,rectangle,0,yellow,1,1,-3,53,rectangle,1,red,5,True
-4,1,58,rectangle,1,blue,2,0,1,37,circle,0,blue,1,True
2,5,32,circle,1,green,1,0,2,30,circle,0,yellow,2,True
0,-5,79,rectangle,0,green,1,-1,5,18,circle,0,yellow,2,False
4,5,28,rectangle,1,blue,4,5,6,11,rectangle,0,red,5,True
-5,-1,24,circle,0,green,1,-2,6,10,rectangle,1,red,5,False
4,-5,74,circle,0,red,5,-4,6,16,circle,0,green,3,False
-4,-5,40,circle,0,green,5,0,2,92,rectangle,0,blue,2,False
0,0,75,circle,1,blue,2,-5,-5,35,circle,1,yellow,4,True
5,3,33,circle,0,yellow,3,5,3,66,rectangle,1,blue,4,True
5,1,26,circle,1,yellow,5,-2,5,95,rectangle,0,blue,2,False
4,0,86,circle,0,red,2,-2,-4,79,rectangle,0,red,3,False
1,-3,41,circle,0,yellow,5,5,5,24,rectangle,1,red,4,False
1,6,35,rectangle,0,blue,1,4,2,64,rectangle,0,red,1,True
2,-1,54,rectangle,0,blue,5,-3,6,77,rectangle,1,green,2,True
-2,5,16,rectangle,1,green,5,3,-3,27,rectangle,1,yellow,2,False
-1,-6,20,rectangle,1,red,5,3,0,76,circle,0,yellow,4,False
2,-2,20,circle,0,blue,4,-3,-5,74,rectangle,0,yellow,3,True
5,-6,92,rectangle,1,yellow,3,-5,-5,55,rectangle,1,blue,2,False
3,1,24,rectangle,0,red,4,-2,-5,67,rectangle,1,blue,2,True
-1,-3,34,rectangle,1,red,4,-5,-3,40,circle,0,blue,2,False
-5,-6,18,rectangle,1,blue,1,3,0,19,rectangle,1,red,4,False
5,-2,57,circle,0,yellow,3,-3,3,23,rectangle,1,blue,5,False
5,-2,54,circle,1,red,2,5,-3,78,circle,0,yellow,2,False
-4,-6,63,rectangle,0,green,3,-2,3,69,circle,1,blue,1,False
4,-4,58,rectangle,1,red,5,5,-4,61,circle,1,yellow,3,True
1,1,79,rectangle,1,yellow,3,-2,-6,91,circle,1,red,1,False
4,-3,16,rectangle,0,yellow,2,5,-3,91,rectangle,1,red,2,True
2,6,46,circle,1,yellow,2,-2,0,98,circle,0,green,3,True
3,3,78,rectangle,1,red,4,2,2,15,circle,0,yellow,5,True
4,6,14,rectangle,1,blue,2,-4,-6,26,circle,1,blue,5,False
-5,-4,97,circle,0,green,2,-1,-1,95,rectangle,1,green,2,True
-4,0,89,circle,0,red,4,5,4,74,rectangle,1,red,1,False
-5,1,19,rectangle,0,green,2,-4,5,57,rectangle,1,green,5,True
1,-6,45,rectangle,0,red,4,0,-2,89,circle,1,blue,4,True
1,3,39,circle,1,green,4,5,-5,92,rectangle,0,yellow,3,False
4,0,13,circle,1,blue,1,-1,3,96,circle,1,blue,2,True
3,-1,23,circle,0,yellow,3,1,-4,32,circle,0,yellow,2,False
-1,-1,100,circle,1,green,3,4,3,24,circle,0,yellow,3,True
4,-6,22,circle,1,yellow,1,3,4,79,rectangle,0,blue,4,False
-3,3,99,circle,0,green,1,1,-1,47,circle,1,blue,4,True
4,1,27,rectangle,0,blue,3,-1,6,78,rectangle,1,red,3,True
2,-6,80,rectangle,0,green,1,0,-1,28,rectangle,0,blue,5,True
-2,-3,81,circle,1,red,5,0,3,68,rectangle,0,green,2,False
4,-3,94,rectangle,1,red,4,3,-6,33,rectangle,0,green,5,True
-5,4,89,rectangle,0,yellow,2,-5,2,20,rectangle,0,blue,1,True
3,3,32,circle,1,yellow,5,0,-4,59,rectangle,0,green,3,False
5,-4,81,rectangle,0,yellow,1,-1,1,51,rectangle,0,red,4,True
3,0,57,circle,1,green,1,-5,-5,20,rectangle,0,blue,1,False
2,-1,41,rectangle,1,green,5,-3,6,78,circle,1,green,5,False
4,-5,79,circle,1,red,1,2,3,22,rectangle,0,yellow,1,False
3,-6,85,rectangle,0,blue,2,3,-2,67,rectangle,1,green,3,True
2,6,38,circle,0,green,5,1,-4,18,rectangle,1,yellow,3,False
-5,2,56,rectangle,0,red,4,-4,-5,14,rectangle,0,red,1,False
0,5,64,rectangle,1,yellow,1,3,2,48,rectangle,1,red,3,True
-4,6,75,rectangle,0,red,3,5,1,22,rectangle,0,yellow,4,False
2,6,77,circle,1,blue,5,0,2,81,circle,1,red,3,True
-1,6,46,rectangle,1,yellow,1,-2,4,42,rectangle,1,blue,3,True
0,-6,20,rectangle,0,red,4,-4,-4,87,circle,0,yellow,3,False
-1,-1,68,circle,0,blue,4,3,2,26,rectangle,1,yellow,3,False
-3,5,55,circle,1,yellow,3,5,-3,57,rectangle,1,green,3,False
5,6,75,circle,1,yellow,4,0,-3,42,rectangle,0,blue,5,False
2,6,44,rectangle,0,green,5,1,-4,17,rectangle,0,red,2,False
3,5,22,circle,0,yellow,5,-3,6,99,circle,1,green,5,False
0,-1,58,circle,0,yellow,1,5,-4,63,circle,0,green,2,False
2,-3,99,circle,1,blue,3,5,4,52,rectangle,1,green,2,False
5,5,15,rectangle,1,red,5,-1,3,38,circle,0,yellow,5,False
-2,-3,59,rectangle,0,yellow,4,1,-6,33,circle,0,blue,2,True
5,5,76,circle,0,blue,5,-4,-5,91,rectangle,0,blue,5,False
-5,4,52,rectangle,0,green,2,-3,4,74,circle,0,green,2,True
-4,0,25,rectangle,1,yellow,2,1,-4,53,rectangle,0,green,5,True
