x1,y1,size1,figure1,is_active1,color1,priority1,x2,y2,size2,figure2,is_active2,color2,priority2,collision
4,-3,61,circle,0,green,2,0,-6,81,rectangle,0,red,3,True
-5,3,35,circle,0,green,3,3,-1,88,rectangle,0,yellow,1,False
-1,5,51,rectangle,1,blue,2,0,1,91,circle,0,red,2,True
3,2,80,rectangle,0,blue,4,1,3,35,rectangle,1,blue,3,True
4,-5,92,circle,0,blue,2,5,1,29,circle,1,yellow,4,False
5,1,37,rectangle,1,red,5,-2,2,32,rectangle,1,blue,1,False
2,6,37,circle,0,green,4,-3,5,59,circle,1,green,2,False
5,3,43,circle,1,yellow,5,-3,1,10,circle,1,yellow,2,True
-5,1,45,rectangle,1,blue,2,1,-2,62,circle,0,yellow,1,False
-4,-1,83,circle,0,blue,4,-2,6,79,rectangle,1,yellow,1,False
3,4,98,circle,1,green,5,-1,1,34,rectangle,0,green,1,True
4,-4,69,rectangle,1,yellow,3,3,4,32,circle,1,blue,4,False
0,6,58,rectangle,0,yellow,5,5,-2,44,circle,0,green,1,False
-1,5,75,rectangle,0,green,5,1,-6,13,rectangle,0,green,1,False
-5,-6,36,circle,1,yellow,1,-1,-6,46,rectangle,1,red,4,True
-2,-2,44,rectangle,0,yellow,1,1,6,48,circle,1,blue,5,False
1,-3,61,circle,1,red,4,-3,-3,19,circle,0,yellow,3,True
5,-4,32,circle,1,green,5,5,2,11,rectangle,0,blue,1,False
4,-4,27,rectangle,1,red,5,-1,-2,51,circle,1,red,5,False
2,-2,20,circle,1,blue,1,-3,4,15,circle,1,yellow,2,False
-4,-3,78,circle,1,green,5,3,0,28,rectangle,0,green,1,False
-1,-5,17,rectangle,0,blue,3,2,-4,66,rectangle,0,yellow,5,True
5,-2,84,rectangle,0,yellow,4,-2,-3,59,circle,0,yellow,4,False
2,4,79,circle,1,yellow,5,4,-4,15,circle,0,blue,3,False
-4,-5,52,circle,0,red,5,1,-4,49,rectangle,1,yellow,1,False
-5,-1,64,circle,0,blue,4,4,-2,36,rectangle,0,yellow,1,False
3,-5,51,rectangle,0,yellow,2,2,-4,89,circle,1,blue,5,True
1,-1,59,circle,0,blue,1,3,-1,74,rectangle,1,yellow,5,True
-4,0,28,circle,0,blue,5,3,5,77,rectangle,1,red,5,False
2,-3,50,rectangle,1,red,3,0,1,67,rectangle,0,green,3,True
-3,4,10,rectangle,0,blue,1,-3,2,64,rectangle,1,blue,3,True
4,-1,100,rectangle,1,yellow,2,0,-1,98,rectangle,0,green,4,True
-2,2,84,rectangle,0,red,3,4,-3,78,rectangle,0,yellow,1,True
-3,5,48,rectangle,0,blue,1,-4,-4,57,rectangle,1,blue,4,False
1,0,33,rectangle,0,blue,1,0,-5,88,rectangle,0,yellow,1,True
-4,2,79,rectangle,0,yellow,1,0,2,14,circle,0,green,5,True
-2,-6,61,circle,0,red,1,-2,-2,32,rectangle,0,yellow,5,True
-5,2,88,rectangle,1,blue,5,-5,-3,77,rectangle,0,red,3,True
1,0,72,circle,0,red,2,-5,6,11,circle,0,yellow,1,False
-2,6,72,circle,1,red,1,0,-1,76,circle,0,red,5,True
-2,-6,20,rectangle,0,green,3,1,-2,39,rectangle,1,green,4,True
-3,-3,64,rectangle,1,green,2,3,0,29,rectangle,0,green,3,True
-2,4,58,rectangle,1,green,2,-4,-6,79,rectangle,0,blue,3,False
4,-1,33,circle,1,red,4,-4,-5,66,circle,0,green,4,True
0,-4,24,rectangle,0,green,5,-2,6,64,circle,1,red,3,False
5,-3,45,circle,0,blue,5,-5,-5,90,rectangle,0,red,3,False
5,-2,98,rectangle,1,blue,3,1,5,36,rectangle,1,blue,4,True
-1,2,72,circle,0,green,1,-5,2,68,circle,0,red,5,True
3,1,22,rectangle,0,yellow,3,-5,4,98,rectangle,0,green,2,False
0,0,31,circle,0,green,5,0,4,34,circle,1,red,1,True
