x1,y1,size1,figure1,x2,y2,size2,figure2,collision
1,1,85,rectangle,-2,-1,55,circle,True
-1,1,59,circle,0,-2,59,rectangle,True
1,2,25,circle,2,3,97,rectangle,True
3,-5,48,circle,1,6,17,circle,False
5,-5,49,circle,3,6,73,circle,False
-1,5,26,circle,0,3,13,rectangle,True
-3,2,13,circle,4,0,26,rectangle,False
-1,-5,66,rectangle,-2,6,89,circle,False
-5,4,45,circle,1,0,98,circle,True
-2,6,22,circle,3,5,84,circle,False
-2,-3,57,rectangle,2,5,13,rectangle,False
1,-1,53,circle,-5,0,51,circle,True
2,6,87,circle,-4,-4,93,rectangle,False
-3,6,88,rectangle,4,6,20,rectangle,False
-2,6,45,rectangle,2,1,81,rectangle,True
0,6,29,rectangle,-1,5,38,circle,True
-1,-1,67,circle,-2,0,26,circle,True
2,5,23,circle,-1,6,58,rectangle,True
-3,5,82,circle,-5,6,46,rectangle,True
5,-6,76,rectangle,-5,-4,45,rectangle,False
0,-2,25,rectangle,4,2,69,circle,False
-3,-5,97,rectangle,-4,-2,27,circle,True
-1,-4,88,rectangle,-4,5,98,rectangle,True
5,-1,25,rectangle,3,3,30,rectangle,True
-1,2,45,circle,4,-4,40,rectangle,False
1,3,63,rectangle,-5,2,50,rectangle,True
2,0,47,circle,-1,-2,51,circle,True
3,-2,21,circle,5,-6,98,rectangle,True
-3,-1,64,circle,-1,-2,26,circle,True
0,4,50,circle,5,0,86,rectangle,True
1,-6,41,circle,0,3,13,circle,False
-2,0,41,rectangle,2,2,79,rectangle,True
-2,3,78,circle,0,-5,28,rectangle,False
-2,-1,60,rectangle,3,4,62,circle,False
3,2,59,circle,-2,1,79,circle,True
-2,2,45,rectangle,1,-5,100,circle,False
5,0,14,rectangle,-1,1,67,rectangle,False
5,2,22,circle,-2,-2,55,circle,True
3,5,57,rectangle,4,4,97,rectangle,True
-3,3,96,circle,2,-2,58,circle,True
2,-1,31,circle,2,-5,71,circle,True
-5,-3,29,circle,-5,0,26,rectangle,True
-3,6,83,rectangle,-3,-2,68,circle,False
5,-2,43,circle,0,4,46,rectangle,False
-1,-2,37,rectangle,3,1,89,circle,True
1,-5,10,circle,5,4,57,circle,False
-4,1,42,circle,-4,0,45,circle,True
-2,-4,56,rectangle,4,-1,46,circle,False
5,-4,91,circle,-1,-5,61,circle,False
2,6,44,circle,-4,0,53,circle,True
