x1,y1,size1,figure1,x2,y2,size2,figure2,collision
-4,-4,13,circle,1,5,78,rectangle,False
-1,-4,64,rectangle,4,4,97,rectangle,True
3,-3,91,circle,-1,-1,39,rectangle,True
0,-4,43,circle,-4,-1,80,circle,True
1,-1,57,circle,-3,6,64,circle,False
2,3,69,rectangle,1,4,15,circle,True
1,-1,32,circle,4,6,59,circle,True
-1,5,83,rectangle,-1,4,26,rectangle,True
-2,-3,25,circle,0,-4,71,circle,True
5,-1,88,circle,-1,-1,76,rectangle,False
5,1,67,circle,0,2,24,circle,True
-5,3,39,circle,4,6,39,circle,False
3,-6,53,rectangle,-1,1,40,rectangle,False
3,5,78,rectangle,1,2,99,circle,True
3,-6,24,rectangle,4,4,99,circle,False
2,4,49,circle,1,-2,90,circle,True
-5,-3,91,rectangle,0,-1,74,circle,True
-2,5,72,rectangle,-5,-6,23,rectangle,False
0,-2,26,circle,4,4,38,circle,True
1,-6,20,circle,3,-4,89,circle,False
-3,0,48,rectangle,4,-6,67,rectangle,True
1,0,31,circle,4,0,22,rectangle,True
-1,5,26,rectangle,-2,1,63,circle,False
3,-4,24,circle,5,-5,76,circle,False
5,-5,77,circle,-5,5,13,rectangle,False
-1,2,85,rectangle,1,2,58,circle,True
-3,4,23,circle,5,5,92,rectangle,False
1,5,91,circle,3,0,94,rectangle,True
-3,4,40,circle,-5,-1,69,rectangle,True
-4,-3,68,rectangle,4,1,24,circle,False
-2,0,84,circle,0,6,100,rectangle,True
-5,-3,40,circle,2,-5,21,rectangle,False
2,-2,19,circle,-5,4,28,rectangle,False
-1,-2,37,rectangle,-2,-6,47,circle,True
1,-2,63,rectangle,2,6,90,circle,False
5,-4,81,circle,-4,6,88,circle,False
5,-6,31,rectangle,-1,-2,78,circle,False
5,-6,48,circle,-4,-5,50,circle,False
3,-1,28,circle,0,-2,12,rectangle,False
3,6,42,circle,4,6,97,rectangle,True
3,6,18,rectangle,-1,-6,14,rectangle,False
2,-5,66,rectangle,-4,6,26,rectangle,False
0,-6,14,circle,-2,-3,56,rectangle,True
-4,3,47,circle,-3,-4,91,circle,True
4,3,90,circle,-3,-4,82,circle,True
0,2,57,rectangle,1,-2,41,circle,True
1,-4,39,circle,-5,1,65,circle,True
5,3,47,circle,1,-5,31,circle,True
4,-5,41,rectangle,-3,1,87,circle,False
-4,1,67,rectangle,3,6,89,circle,False
3,-2,29,circle,4,-3,63,circle,False
-5,2,91,circle,5,-1,98,circle,True
-2,-2,62,rectangle,-1,-4,43,circle,True
-5,4,61,circle,5,2,35,rectangle,False
2,3,85,rectangle,3,-6,96,circle,False
0,-5,40,rectangle,-4,-2,78,rectangle,True
3,-6,63,rectangle,1,-5,57,circle,True
4,-2,90,rectangle,-2,4,11,rectangle,True
5,-6,94,circle,4,1,74,rectangle,False
-2,0,99,circle,5,6,82,circle,True
1,-5,60,circle,-4,6,10,rectangle,False
-2,-2,74,circle,0,-2,55,rectangle,True
2,2,42,circle,4,3,22,rectangle,True
4,3,67,rectangle,3,-2,77,circle,True
-3,-2,45,circle,4,0,88,circle,True
0,-2,20,rectangle,-2,-6,76,rectangle,True
-5,-1,25,rectangle,-5,6,25,rectangle,False
3,0,27,circle,2,3,36,circle,True
0,-5,37,rectangle,-4,-4,71,rectangle,True
-3,5,72,circle,4,-4,32,rectangle,False
0,-4,51,rectangle,4,3,26,circle,False
-2,-3,35,circle,-3,-2,17,circle,True
-2,-3,89,circle,-1,4,68,rectangle,False
-5,-2,97,rectangle,0,-6,20,circle,True
-2,-5,75,circle,-3,-5,12,circle,True
-2,3,28,rectangle,-2,2,96,rectangle,True
2,5,28,rectangle,-5,4,44,circle,False
-1,3,13,rectangle,5,-1,82,circle,False
4,-2,34,rectangle,0,1,56,circle,True
5,1,16,rectangle,4,0,43,circle,True
-5,-1,76,rectangle,2,0,54,rectangle,True
1,-3,53,circle,0,-2,41,circle,True
3,0,68,circle,-2,6,81,circle,True
3,0,56,rectangle,-5,6,59,rectangle,False
-3,2,41,circle,4,2,90,rectangle,False
4,4,76,rectangle,-1,5,32,circle,True
-3,0,97,rectangle,-4,3,15,circle,True
-1,5,42,circle,5,2,62,circle,True
1,2,69,rectangle,-4,5,96,rectangle,True
2,4,65,rectangle,-4,1,11,rectangle,False
3,4,12,circle,1,1,83,rectangle,True
-2,-5,43,circle,3,-4,71,circle,True
1,-2,87,rectangle,0,2,51,rectangle,True
4,-2,13,rectangle,-2,3,94,rectangle,True
0,-4,34,rectangle,-2,-3,78,rectangle,True
1,6,51,circle,1,4,25,rectangle,True
3,-3,22,rectangle,2,-2,26,rectangle,True
4,1,82,rectangle,-2,-5,46,rectangle,True
1,-4,86,circle,-4,1,80,rectangle,True
-2,2,56,rectangle,5,1,40,rectangle,False
0,-3,64,circle,5,5,88,circle,True
-1,6,56,rectangle,1,3,93,circle,True
-2,-5,87,circle,-4,-3,38,rectangle,True
3,-4,23,circle,-5,-5,12,rectangle,False
-5,-5,16,rectangle,-1,3,85,circle,False
-3,-3,44,circle,5,-6,81,circle,False
-3,4,97,circle,1,3,53,circle,True
0,5,40,circle,0,5,47,rectangle,True
4,-4,94,rectangle,0,-5,64,circle,True
5,0,15,circle,-3,-6,74,circle,True
1,-3,16,rectangle,-3,6,94,rectangle,False
1,6,98,circle,4,-6,96,circle,False
-5,0,28,circle,-1,-3,19,rectangle,False
-5,-6,75,rectangle,-3,-2,86,circle,True
2,-1,55,circle,0,-5,66,circle,True
4,-3,90,circle,5,3,48,rectangle,False
2,6,11,rectangle,1,-1,28,rectangle,False
1,6,25,circle,-2,-5,19,rectangle,False
-5,0,47,circle,-2,6,79,circle,False
0,6,18,circle,-2,0,17,circle,False
-3,6,27,rectangle,-3,-6,50,circle,False
-2,0,78,circle,-1,6,94,rectangle,True
-5,-1,31,rectangle,-1,5,16,rectangle,False
2,-1,81,circle,3,0,84,rectangle,True
-4,-1,68,rectangle,-5,-2,47,rectangle,True
0,3,14,circle,-2,-4,43,rectangle,False
2,-6,18,circle,-4,-5,22,circle,False
-5,-6,57,rectangle,0,2,74,circle,False
-2,-3,79,rectangle,2,-1,91,rectangle,True
5,-3,44,circle,3,5,77,rectangle,False
-1,-6,89,circle,-2,-4,31,circle,True
4,0,20,rectangle,-2,1,94,circle,False
-1,0,57,circle,0,4,12,rectangle,False
-4,-4,79,circle,-4,-2,46,rectangle,True
-3,6,51,rectangle,-1,-4,59,circle,False
3,0,49,circle,-3,-6,71,circle,True
5,2,93,circle,1,1,61,circle,True
4,3,49,circle,5,5,39,circle,True
3,6,82,rectangle,1,5,27,circle,True
3,3,71,rectangle,-1,-6,99,rectangle,True
-2,2,34,circle,1,-5,84,circle,True
5,-3,96,circle,3,6,76,circle,True
1,-1,74,rectangle,3,2,96,circle,True
3,-4,100,rectangle,-3,5,35,rectangle,False
1,2,70,rectangle,2,2,20,rectangle,True
0,-6,90,rectangle,-2,0,73,circle,False
0,-1,50,circle,5,-4,64,rectangle,True
3,-2,44,circle,2,-5,50,circle,False
-2,-2,58,circle,-3,-1,20,rectangle,True
5,6,76,circle,1,5,78,rectangle,True
1,6,39,circle,-3,-2,53,rectangle,False
-4,2,88,rectangle,2,-4,41,circle,False
-4,6,71,circle,5,3,73,rectangle,False
4,-6,74,rectangle,-2,2,55,circle,False
-5,-2,57,circle,4,-2,93,rectangle,False
3,5,80,circle,-3,-4,57,rectangle,False
5,-5,97,rectangle,1,4,20,rectangle,False
-3,-3,14,circle,2,-4,15,circle,False
-3,3,90,circle,5,0,24,rectangle,False
1,-3,69,circle,3,6,100,rectangle,False
1,-6,52,rectangle,0,-2,96,rectangle,True
-3,0,19,rectangle,1,-6,48,circle,False
3,-5,88,rectangle,4,-6,24,circle,True
0,-1,84,circle,0,3,91,circle,True
-1,-5,62,rectangle,4,-3,91,circle,True
-4,-1,47,rectangle,4,2,29,rectangle,False
5,6,14,rectangle,2,5,25,circle,False
-3,1,92,circle,4,5,91,circle,True
0,-6,29,rectangle,-5,5,25,rectangle,False
1,-4,70,circle,3,4,34,rectangle,False
4,-5,36,rectangle,2,3,60,circle,False
-4,-6,25,circle,-5,-2,47,circle,True
-5,6,49,circle,-4,2,54,circle,False
-3,-6,52,circle,2,1,84,rectangle,False
-1,3,98,rectangle,5,-5,21,circle,False
-3,1,72,circle,0,6,67,rectangle,True
0,5,60,rectangle,-4,-2,35,rectangle,False
4,-1,31,rectangle,1,4,99,circle,False
5,0,54,circle,-2,3,72,rectangle,False
-3,-3,87,circle,-1,6,90,rectangle,False
2,-6,28,rectangle,-4,-5,60,circle,False
1,3,43,rectangle,1,-6,21,circle,False
5,-6,54,circle,1,6,49,circle,False
4,3,100,rectangle,3,1,84,rectangle,True
3,3,37,rectangle,5,-6,89,circle,False
-5,-1,40,circle,-5,3,67,circle,False
4,-2,98,circle,0,6,47,rectangle,False
-4,-4,11,circle,4,1,23,circle,True
-2,2,22,circle,-3,1,46,circle,True
1,-2,62,rectangle,1,-3,87,circle,True
-5,3,27,rectangle,2,5,83,rectangle,True
5,4,45,rectangle,-3,-2,94,circle,False
2,-2,36,circle,5,-6,16,rectangle,False
2,-2,66,circle,-1,-1,55,circle,True
3,-1,18,rectangle,2,-2,77,circle,True
5,-6,33,rectangle,2,-6,54,circle,True
-2,5,26,rectangle,0,5,78,circle,True
4,-6,58,circle,5,1,42,rectangle,False
-4,-4,71,circle,5,0,45,rectangle,False
5,2,81,rectangle,0,3,53,rectangle,True
2,-6,76,rectangle,1,2,76,circle,False
-1,-1,92,circle,-4,-2,37,rectangle,True
-3,3,49,circle,3,6,69,rectangle,False
2,-4,92,rectangle,-4,3,51,circle,False
5,-4,80,circle,-5,-1,60,rectangle,False
-2,2,95,circle,3,2,43,rectangle,False
-1,-1,85,rectangle,0,6,49,circle,False
4,3,23,rectangle,4,2,71,rectangle,True
2,6,100,circle,-3,-2,44,rectangle,False
-2,5,49,circle,4,6,26,circle,False
-2,-3,26,circle,-1,0,46,circle,True
3,-3,71,circle,-1,-3,73,circle,True
-2,2,49,circle,2,-2,88,rectangle,True
1,6,10,circle,-4,-6,92,circle,True
1,-3,31,rectangle,5,2,53,circle,False
-1,-2,90,circle,5,-3,38,rectangle,False
5,5,60,circle,-1,0,32,rectangle,False
3,4,35,circle,3,2,72,circle,True
1,1,66,rectangle,3,2,98,rectangle,True
2,6,85,rectangle,4,4,24,circle,True
-5,0,10,circle,-2,3,35,circle,False
-4,-1,59,circle,3,2,21,circle,True
4,-6,25,circle,-2,-6,94,rectangle,False
-5,-3,74,circle,0,-5,56,circle,True
1,-2,37,circle,0,0,51,circle,True
4,-3,22,circle,-1,-2,72,rectangle,True
2,-4,47,circle,2,-5,11,circle,False
1,-4,74,rectangle,3,-5,89,rectangle,True
-3,3,47,rectangle,1,0,22,circle,True
5,1,50,rectangle,3,-2,52,rectangle,True
-4,-6,31,circle,0,4,26,rectangle,False
-2,1,10,circle,-3,-4,92,rectangle,True
0,-2,69,circle,-3,1,77,circle,True
4,6,31,rectangle,0,-6,55,circle,False
-3,-4,58,rectangle,-4,-2,62,circle,True
-5,5,45,rectangle,-1,6,18,circle,True
-2,-1,12,rectangle,5,3,23,rectangle,False
-5,-5,81,rectangle,-4,-4,63,circle,True
4,3,60,circle,-4,-1,49,circle,True
-5,5,86,circle,3,-6,89,rectangle,False
2,1,49,rectangle,4,0,63,circle,True
-2,-5,87,circle,-4,-2,73,circle,True
5,4,95,circle,2,6,66,rectangle,True
0,3,24,rectangle,1,1,53,circle,True
2,0,95,rectangle,-2,2,91,circle,True
-5,1,40,rectangle,0,3,92,rectangle,True
1,1,60,circle,1,6,99,rectangle,True
4,4,100,circle,-4,-3,29,circle,True
5,-5,43,circle,-4,-5,96,circle,False
5,-2,88,circle,5,-4,57,circle,False
2,0,58,circle,2,-5,14,rectangle,False
4,-2,82,rectangle,5,-3,75,rectangle,True
-4,-5,74,circle,3,-3,60,rectangle,False
-3,0,27,rectangle,5,6,85,rectangle,False
2,-6,70,rectangle,-1,-6,85,circle,True
0,-2,81,rectangle,2,5,36,rectangle,True
-3,-4,20,circle,5,1,25,circle,True
0,1,32,circle,3,-6,55,circle,False
-5,-1,75,rectangle,-4,-3,70,rectangle,True
0,1,24,circle,-1,-4,89,circle,True
3,-2,89,rectangle,1,-2,89,rectangle,True
-5,5,60,rectangle,-5,4,71,circle,True
0,-6,27,circle,4,0,31,circle,False
-3,1,12,circle,-5,4,63,rectangle,True
-4,2,30,rectangle,4,4,12,circle,False
3,2,30,circle,-5,6,95,rectangle,False
-5,1,72,circle,-2,0,99,rectangle,True
-5,0,80,circle,-2,-1,70,rectangle,True
-3,4,17,circle,4,1,61,rectangle,False
-4,4,98,circle,0,-5,34,circle,False
0,0,59,rectangle,-3,1,56,circle,True
-4,0,79,rectangle,-1,1,56,rectangle,True
2,1,32,circle,-3,-3,21,rectangle,False
3,-4,89,circle,0,2,12,circle,False
4,2,59,circle,-2,-3,83,circle,True
-5,-4,79,circle,0,-5,64,rectangle,True
1,4,91,rectangle,3,6,77,circle,True
1,1,26,rectangle,-3,-4,31,circle,False
5,-3,34,rectangle,-1,-2,90,circle,False
5,5,44,circle,1,2,61,circle,True
5,-6,80,rectangle,0,4,17,circle,False
-2,6,16,circle,4,1,56,rectangle,False
-5,-4,22,rectangle,0,3,39,circle,False
0,1,87,rectangle,1,5,72,rectangle,True
-1,1,99,rectangle,2,4,58,rectangle,True
-5,-6,81,rectangle,-1,-1,36,rectangle,True
4,0,92,circle,-2,1,37,rectangle,False
2,-1,89,circle,-2,5,66,circle,True
2,3,56,circle,-3,5,93,rectangle,True
1,2,61,rectangle,1,-3,79,rectangle,True
2,0,22,rectangle,1,1,100,circle,True
-5,3,70,rectangle,1,-5,97,circle,False
-2,6,39,circle,0,6,56,circle,False
-3,6,93,rectangle,-1,-3,79,circle,False
-4,-6,50,circle,-2,0,70,rectangle,False
-4,-3,93,rectangle,0,6,13,rectangle,False
-5,6,60,rectangle,-2,1,83,circle,True
-3,5,88,rectangle,1,5,86,circle,True
0,3,63,rectangle,-4,3,17,rectangle,True
1,3,16,circle,4,-1,42,rectangle,True
3,-2,68,rectangle,1,3,17,circle,False
2,-6,46,rectangle,4,6,34,circle,False
-5,-2,22,rectangle,2,-3,77,circle,False
5,5,20,rectangle,2,6,94,rectangle,True
5,0,80,circle,5,-1,65,rectangle,True
-4,3,56,rectangle,1,4,46,rectangle,True
-1,-5,73,circle,5,5,79,rectangle,False
-1,3,63,circle,5,-2,49,rectangle,False
-4,2,45,rectangle,-4,-2,29,rectangle,True
3,0,74,circle,-2,4,18,circle,True
3,2,80,circle,0,2,39,circle,True
-3,-4,63,circle,-1,1,72,rectangle,True
5,4,98,rectangle,-3,4,63,rectangle,True
-1,5,71,circle,-5,0,22,circle,False
-5,5,28,circle,4,6,13,circle,False
2,-3,58,circle,-3,-2,91,circle,True
4,3,89,circle,1,-1,85,rectangle,True
3,-2,58,rectangle,-1,-6,84,rectangle,True
2,1,15,circle,4,2,100,rectangle,True
-5,-1,53,circle,5,-4,14,rectangle,False
-5,-2,28,circle,-4,-3,79,circle,True
-5,-5,36,rectangle,3,-6,89,rectangle,False
3,3,84,circle,1,-5,48,circle,True
5,2,75,rectangle,-2,2,66,circle,False
-3,-5,80,rectangle,3,6,30,circle,False
4,-3,74,rectangle,-5,-1,49,rectangle,False
-5,-2,31,circle,0,-2,12,rectangle,False
-3,-1,84,rectangle,1,-5,14,rectangle,True
1,-6,94,circle,1,6,15,circle,False
-5,6,27,circle,5,0,56,rectangle,False
5,-2,10,circle,-2,0,98,circle,True
3,1,60,rectangle,1,-1,24,rectangle,True
-1,-3,48,rectangle,-4,1,54,rectangle,True
-4,5,100,rectangle,2,0,14,circle,False
4,5,73,rectangle,-2,5,76,circle,False
4,-5,88,rectangle,0,5,63,circle,False
-2,3,91,circle,3,-2,11,rectangle,False
4,-3,26,rectangle,-4,1,82,circle,False
-5,-6,38,rectangle,4,-5,52,rectangle,False
-2,-3,44,circle,-3,5,49,circle,False
1,2,78,rectangle,-1,-5,68,rectangle,True
-1,-1,15,rectangle,4,-3,94,circle,False
0,5,29,rectangle,0,-4,75,circle,False
-2,5,14,circle,3,5,92,rectangle,True
-2,1,84,rectangle,-5,0,83,rectangle,True
-5,0,47,rectangle,3,-5,80,rectangle,False
0,-2,78,rectangle,-4,4,78,circle,False
2,-3,94,rectangle,1,-2,36,rectangle,True
3,-1,56,rectangle,1,6,97,rectangle,True
3,-3,43,rectangle,-2,-4,30,circle,False
-2,4,36,circle,-1,5,80,circle,False
2,4,20,rectangle,3,-3,75,rectangle,False
0,-3,46,rectangle,-5,-6,11,rectangle,True
-4,-5,72,circle,2,6,46,circle,True
3,-3,98,circle,0,-4,77,circle,True
5,6,32,circle,-1,6,57,rectangle,False
1,-6,98,circle,3,2,28,circle,True
2,5,37,circle,-1,2,96,circle,True
-4,-2,10,rectangle,1,5,88,rectangle,False
-3,-4,42,rectangle,1,-1,81,circle,True
-3,2,56,rectangle,-5,5,76,rectangle,True
-3,-4,27,rectangle,-2,-6,97,rectangle,True
4,6,100,circle,2,-3,64,circle,True
3,6,58,rectangle,-2,1,77,rectangle,True
-1,-5,35,rectangle,-4,-5,35,circle,True
0,-2,49,rectangle,-3,4,67,rectangle,True
0,-1,59,rectangle,0,1,41,circle,True
-2,-3,80,rectangle,1,2,49,circle,True
4,-1,93,rectangle,4,6,62,rectangle,True
-1,-6,54,circle,4,-5,14,circle,False
5,-4,70,circle,-1,-5,44,rectangle,False
1,1,12,circle,4,4,30,circle,True
-2,-3,41,circle,1,-6,42,rectangle,True
1,-2,17,circle,5,6,49,rectangle,False
2,0,57,rectangle,1,2,86,circle,True
3,-5,62,rectangle,-4,-3,64,rectangle,True
4,-5,98,circle,0,-3,62,rectangle,True
5,0,87,circle,4,-1,51,circle,True
1,4,88,rectangle,-2,6,20,circle,True
3,-2,13,circle,4,3,24,rectangle,False
5,-5,54,circle,2,-1,45,rectangle,True
3,-1,49,rectangle,-4,-4,24,rectangle,False
1,4,92,circle,0,4,78,circle,True
-1,6,54,circle,-2,1,12,circle,False
-5,0,16,rectangle,3,2,63,circle,False
5,2,56,rectangle,1,-5,99,rectangle,True
-3,-3,44,rectangle,2,6,52,rectangle,False
-5,-6,61,rectangle,3,3,23,rectangle,False
-4,-3,48,rectangle,3,3,81,circle,False
-1,3,43,rectangle,5,2,27,rectangle,False
2,5,14,rectangle,4,0,45,circle,False
-1,1,20,rectangle,3,-6,37,circle,False
0,-2,75,circle,-3,-1,13,circle,True
0,0,84,circle,3,-5,21,rectangle,False
3,-3,37,rectangle,3,6,66,circle,False
5,2,100,rectangle,2,-6,32,rectangle,False
5,-2,13,circle,-4,-5,42,circle,False
-5,6,11,circle,5,-1,30,rectangle,False
-5,3,95,circle,1,-6,86,circle,True
-5,0,44,circle,-5,6,89,rectangle,False
-3,4,62,circle,-1,4,45,rectangle,True
0,2,26,rectangle,3,5,53,rectangle,True
-4,-4,16,rectangle,5,3,32,rectangle,False
-3,-5,14,rectangle,-1,1,22,circle,False
0,6,18,rectangle,0,1,35,rectangle,True
2,-1,62,circle,2,-2,48,rectangle,True
2,-5,88,rectangle,-4,-1,52,circle,False
-3,6,61,circle,4,3,19,rectangle,False
-3,-3,74,circle,-4,-4,61,rectangle,True
5,3,46,circle,-1,0,84,circle,True
3,2,100,circle,-1,2,18,circle,True
2,-2,52,rectangle,3,1,71,rectangle,True
-4,1,46,rectangle,4,-6,67,circle,False
2,-4,97,circle,-4,-1,54,rectangle,False
0,2,23,rectangle,2,6,19,circle,False
1,-6,80,rectangle,-5,-4,78,rectangle,True
5,2,39,circle,-2,1,22,circle,True
-1,-6,39,rectangle,-4,-5,28,circle,True
1,-4,64,circle,1,-6,46,rectangle,True
-1,5,37,rectangle,-1,5,91,rectangle,True
5,6,72,rectangle,4,4,81,circle,True
1,-3,27,circle,5,1,71,rectangle,True
3,5,26,circle,0,-3,33,circle,True
-1,3,97,rectangle,4,6,50,circle,True
-2,0,55,circle,-1,-3,10,circle,True
-4,0,38,circle,1,-5,30,circle,False
4,3,92,circle,0,4,86,circle,True
